,0,1
0,['Easy Trip Planners Ltd'],['₹40.60']
1,['Suzlon Energy Ltd'],['₹15.30']
2,['South Indian Bank Ltd'],['₹19.30']
3,['Yes Bank Limited'],['₹16.30']
4,['Vodafone Idea Ltd'],['₹7.45']
5,['Reliance Power Ltd'],['₹14.15']
6,['Zomato Ltd'],['₹74.90']
7,['Adani Transmission Ltd'],['₹767.85']
8,['IDFC First Bank Ltd'],['₹79.60']
9,['Hindustan Construction Company Ltd'],['₹20.00']
10,['Indiabulls Housing Finance Ltd'],['₹123.30']
11,['Jaiprakash Power Ventures Limited'],['₹6.10']
12,['Bank of Maharashtra Ltd'],['₹28.95']
13,['RattanIndia Power Ltd'],['₹4.85']
14,['Karnataka Bank Limited'],['₹188.80']
15,['Punjab National Bank'],['₹51.65']
16,['Bharat Electronics Ltd'],['₹125.25']
17,['Bajaj Hindusthan Sugar Ltd'],['₹16.55']
18,['Tata Steel Ltd'],['₹112.00']
19,['Bharat Heavy Electricals Ltd'],['₹87.60']
20,['Bandhan Bank Ltd'],['₹242.30']
21,['Indus Towers Ltd'],['₹163.90']
22,['Brightcom Group Ltd'],['₹31.20']
23,['HDFC Bank Limited'],"['₹1,700.75']"
24,['Biocon Ltd'],['₹265.00']
25,['Federal Bank Ltd'],['₹126.25']
26,['IDBI Bank Ltd'],['₹55.50']
27,['NHPC Limited'],['₹45.80']
28,['Dish TV India Ltd'],['₹14.60']
29,['Bank of Baroda Ltd'],['₹190.10']
30,['Jammu & Kashmir Bank Limited'],['₹60.35']
31,['L&T Finance Holdings Ltd'],['₹127.80']
32,['Reliance Home Finance Ltd'],['₹2.80']
33,['Gail (India) Ltd'],['₹105.05']
34,['Nippon Life India Asset Management Ltd'],['₹286.30']
35,['REC Limited'],['₹164.85']
36,['GTL Infrastructure Limited'],['₹0.85']
37,['Manappuram Finance Ltd'],['₹132.25']
38,['GMR Airports Infrastructure Ltd'],['₹43.70']
39,['JK Tyre & Industries Ltd'],['₹236.65']
40,['RBL Bank Ltd'],['₹181.40']
41,['Ujjivan Small Finance Bank Ltd'],['₹37.95']
42,['Indian Railway Finance Corp Ltd'],['₹32.65']
43,['Motherson Sumi Wiring India Ltd'],['₹57.70']
44,['ICICI Bank Ltd'],['₹934.00']
45,['Infibeam Avenues Ltd'],['₹15.70']
46,['Power Finance Corporation Limited'],['₹215.55']
47,['UCO Bank'],['₹27.35']
48,['Indiabulls Real Estate Ltd'],['₹59.85']
49,['Power Grid Corporation of India Limited'],['₹254.00']
